Date,Customer_ID,Age,Gender,Income,Spending_Score,Credit_Score,Loan_Amount,Previous_Defaults,Marketing_Spend,Purchase_Frequency,Seasonality,Sales,Customer_Churn,Defaulted
12/04/2024,1,56,Female,142418.0,7,391.0,8083,1,15376,3,Low,32526,0,0
21/02/2024,2,69,Male,63088.0,82,652.0,34328,2,6889,6,Low,78493,0,0
02/04/2024,3,46,Male,136868.0,91,662.0,47891,2,6054,29,Medium,57198,1,0
15/01/2024,4,32,Female,85375.5,34,644.0,25103,2,4868,8,Medium,48395,0,0
16/04/2024,5,60,Male,59811.0,91,469.0,44891,1,17585,12,High,29031,1,0
12/03/2024,6,25,Male,134825.0,17,655.0,15754,1,19881,13,Low,80542,0,0
01/03/2024,7,38,Female,75479.0,43,490.0,39447,1,2842,11,Medium,42701,1,1
21/01/2024,8,56,Male,85375.5,59,721.0,20901,2,11058,12,Medium,30939,1,0
12/04/2024,9,36,Male,107369.0,51,306.0,38004,1,10101,1,Medium,54145,0,0
23/03/2024,10,40,Male,137520.0,54,432.0,12446,0,13497,17,Medium,25324,0,1
27/03/2024,11,28,Female,39963.0,24,330.0,42211,0,5658,16,Medium,27867,0,0
15/03/2024,12,28,Female,75123.0,25,834.0,29817,1,12381,11,Low,5203,0,1
15/03/2024,13,41,Female,145911.0,71,725.0,31116,0,8544,13,Low,21544,0,1
28/03/2024,14,53,Male,122468.0,52,693.0,46323,0,8718,18,Low,20899,0,0
26/04/2024,15,57,Male,112705.0,70,588.5,23752,2,14851,11,Low,34063,0,0
09/04/2024,16,41,Female,93477.0,88,736.0,37376,1,18154,28,High,95880,0,0
13/04/2024,17,20,Male,34388.0,33,381.0,21669,1,12777,12,Low,8748,1,1
24/01/2024,18,39,Male,25569.0,49,655.0,37916,2,2628,6,Medium,71629,0,0
03/01/2024,19,19,Female,89836.0,29,557.0,29817,0,1386,9,Low,85764,0,0
22/01/2024,20,41,Female,124573.0,63,823.0,25421,0,7031,16,High,25884,0,1
22/02/2024,21,61,Male,56586.0,22,594.0,31342,1,7439,4,Medium,30183,1,1
02/01/2024,22,47,Male,147018.0,26,588.5,9895,0,14392,3,Low,86570,0,1
28/03/2024,23,55,Male,32015.0,28,588.5,29817,2,19850,28,Low,76246,0,0
17/04/2024,24,19,Female,65002.0,85,588.5,15699,2,3282,16,Low,24259,0,1
30/01/2024,25,38,Female,136594.0,49,412.0,14715,1,2856,24,Medium,40959,0,0
07/02/2024,26,50,Female,26254.0,71,532.0,24169,2,16670,27,Medium,38457,0,1
02/01/2024,27,29,Female,37144.0,81,316.0,21163,2,2998,26,High,90679,1,0
04/03/2024,28,39,Male,44214.0,84,659.0,10782,1,6476,25,Medium,7103,1,0
29/02/2024,29,61,Female,85375.5,49,588.5,27641,2,10428,12,Medium,70901,0,0
21/01/2024,30,42,Female,100719.0,20,747.0,29817,2,5669,11,Low,49535,1,0
02/02/2024,31,66,Female,91774.0,86,588.5,40585,2,13336,5,Medium,21103,0,0
16/03/2024,32,44,Female,26090.0,92,625.0,29817,0,10342,25,Low,95012,0,0
27/02/2024,33,59,Female,31637.0,63,766.0,29817,1,8064,18,Low,83278,1,0
22/01/2024,34,45,Male,42415.0,61,713.0,43067,1,8446,19,Medium,17391,0,0
17/04/2024,35,33,Male,44071.0,49,588.5,47685,1,18815,23,High,33901,1,1
29/03/2024,36,32,Female,78243.0,71,532.0,23073,0,6624,23,High,86159,0,0
18/02/2024,37,64,Male,130951.0,1,523.0,41035,0,8461,6,Medium,72914,0,0
31/03/2024,38,68,Female,85375.5,96,711.0,42174,1,2819,22,High,55357,0,0
28/02/2024,39,61,Female,85375.5,13,634.0,29837,0,11516,18,Low,91908,0,0
11/02/2024,40,69,Male,61240.0,94,521.0,22826,1,14749,26,Low,43437,0,0
01/04/2024,41,20,Male,146146.0,87,336.0,29817,0,18514,6,Medium,40503,1,0
29/02/2024,42,54,Female,103807.0,51,577.0,15382,2,3658,4,High,98459,0,0
20/03/2024,43,68,Female,121570.0,56,495.0,9437,2,4500,12,High,80403,1,1
15/01/2024,44,24,Female,53434.0,83,783.0,10435,1,3120,19,Low,46258,1,1
02/03/2024,45,38,Male,89724.0,62,541.0,29819,0,5020,29,Medium,38724,0,0
02/03/2024,46,26,Female,135359.0,32,588.5,41875,0,11213,27,High,69286,0,1
16/02/2024,47,56,Female,95697.0,30,491.0,36982,2,4259,29,Medium,79842,0,0
02/03/2024,48,35,Female,48732.0,29,316.0,38328,2,11081,2,High,19908,0,0
20/02/2024,49,21,Male,141465.0,49,823.0,17329,0,2823,17,Low,97617,1,0
17/04/2024,50,42,Female,31314.0,45,700.0,29817,0,18858,11,Low,55626,0,0
24/02/2024,51,31,Female,43954.0,93,321.0,26932,0,19626,11,Medium,42228,0,0
25/04/2024,52,67,Male,77108.0,30,773.0,39594,0,14467,21,Low,28386,0,0
04/03/2024,53,26,Female,107044.0,16,419.0,16421,0,7990,16,High,51754,0,0
03/01/2024,54,43,Female,107505.0,40,509.0,12629,0,4134,2,Low,33302,0,0
10/04/2024,55,19,Male,131195.0,19,605.0,13325,1,19454,2,Medium,65815,0,0
20/02/2024,56,37,Female,123081.0,18,569.0,33495,0,17743,23,Medium,89748,0,0
07/01/2024,57,45,Male,56668.0,1,584.0,36750,2,16434,8,Medium,68344,0,0
21/01/2024,58,64,Male,43061.0,78,526.0,34619,1,16007,13,High,40618,0,0
13/03/2024,59,24,Female,99252.0,47,680.0,45461,0,11233,10,High,81234,0,0
08/02/2024,60,61,Female,59749.0,66,588.5,29817,2,17378,8,High,66114,0,0
18/01/2024,61,25,Female,149668.0,92,306.0,17686,1,2141,4,High,75130,1,1
04/01/2024,62,64,Female,124680.0,94,328.0,29226,2,19019,15,High,30525,0,0
29/03/2024,63,52,Male,36907.0,38,332.0,11721,0,11135,1,Low,84818,0,0
29/02/2024,64,31,Female,38777.0,51,378.0,25609,0,13966,11,High,19334,0,0
14/01/2024,65,34,Male,113229.0,63,758.0,12373,0,4361,7,High,99715,0,0
23/04/2024,66,53,Female,71745.0,4,837.0,43675,0,8835,17,Low,67767,1,0
09/01/2024,67,67,Female,128464.0,1,781.0,33937,1,12172,27,High,11644,0,0
30/03/2024,68,57,Female,148077.0,8,729.0,10656,1,17390,20,Medium,37933,0,0
22/02/2024,69,21,Male,111865.0,29,584.0,13984,2,4267,24,High,48469,1,0
02/01/2024,70,19,Female,132428.0,55,815.0,34984,0,7564,18,High,38687,0,0
24/03/2024,71,23,Female,101818.0,3,398.0,13286,2,19990,22,Medium,57656,0,0
01/04/2024,72,59,Female,85375.5,32,696.0,10901,1,12411,29,Medium,22375,0,0
20/04/2024,73,21,Female,43321.0,10,788.0,36552,0,6906,22,Medium,70206,0,0
29/02/2024,74,46,Male,30488.0,74,338.0,30709,0,17028,12,Medium,41607,0,0
11/03/2024,75,35,Female,42574.0,83,570.0,36055,1,8611,9,High,88178,0,0
13/02/2024,76,43,Male,25240.0,34,456.0,42685,1,18297,5,Medium,28993,1,0
08/01/2024,77,61,Male,63221.0,97,374.0,13429,1,3011,10,Medium,49386,1,0
16/02/2024,78,51,Male,30478.0,87,429.0,19716,1,18826,4,Low,51287,0,0
04/02/2024,79,27,Male,148055.0,55,588.5,16138,1,12246,5,Medium,91724,0,0
18/03/2024,80,53,Male,75645.0,92,321.0,40298,0,14790,28,Medium,98308,1,1
21/03/2024,81,31,Male,130698.0,32,758.0,28429,1,12738,28,Low,81312,0,0
05/02/2024,82,48,Female,39262.0,50,838.0,10772,0,15730,10,Low,80324,1,1
19/02/2024,83,65,Male,138831.0,7,681.0,29817,0,12120,11,High,76196,1,0
13/04/2024,84,32,Male,72796.0,93,739.0,44905,1,19213,21,Low,75014,0,0
04/01/2024,85,25,Male,24432.0,8,320.0,22347,1,9767,24,High,13210,0,0
02/01/2024,86,31,Female,85375.5,65,602.0,21920,0,14703,10,Low,15922,0,0
06/01/2024,87,40,Female,84291.0,57,383.0,36822,1,1929,28,Low,41289,0,0
23/02/2024,88,57,Male,99104.0,67,752.0,45108,1,12951,8,High,38340,1,0
15/04/2024,89,38,Female,79399.0,88,686.0,28563,1,16845,2,Low,44850,0,0
04/01/2024,90,33,Male,147600.0,87,806.0,12967,2,18438,23,High,61984,1,0
23/02/2024,91,62,Male,99714.0,59,556.0,16871,0,16747,8,Low,89178,0,0
02/04/2024,92,35,Female,70428.0,72,826.0,33763,2,6744,16,Medium,16094,0,1
03/03/2024,93,64,Male,107731.0,54,461.0,16916,1,19284,27,Low,92959,0,0
18/01/2024,94,41,Female,145646.0,67,462.0,13734,2,10649,22,High,38418,0,0
30/03/2024,95,43,Female,85375.5,51,823.0,38613,1,7980,5,Low,10741,0,0
13/02/2024,96,42,Male,102558.0,97,570.0,33179,2,8069,27,High,77374,0,0
03/02/2024,97,62,Male,20055.0,92,791.0,40262,1,10591,25,High,73798,1,0
14/03/2024,98,58,Female,131317.0,8,507.0,17677,2,1442,29,Medium,75532,0,1
02/03/2024,99,46,Male,28717.0,34,838.0,23268,2,5652,3,Medium,27164,0,0
09/04/2024,100,32,Male,147449.0,35,359.0,29817,2,10370,12,High,40595,0,0
14/01/2024,101,62,Male,48699.0,96,729.0,29817,0,8597,13,Low,35257,1,0
04/04/2024,102,18,Female,85375.5,88,608.0,42947,2,15325,13,High,19211,0,1
17/02/2024,103,42,Female,87661.0,78,819.0,32286,0,5458,10,High,10232,0,0
15/01/2024,104,24,Male,64247.0,32,326.0,29817,1,7591,4,Low,72753,1,0
12/03/2024,105,26,Female,134049.0,46,498.0,11430,2,17346,9,Low,57691,1,1
18/03/2024,106,41,Female,36748.0,16,686.0,44922,1,12826,22,Low,94765,0,0
27/03/2024,107,18,Female,125113.0,68,588.5,18828,1,19693,24,Low,84768,0,1
02/03/2024,108,61,Female,24621.0,37,835.0,47913,2,15138,23,High,30613,0,0
09/02/2024,109,25,Female,35034.0,54,677.0,36497,0,18294,27,High,19026,0,0
25/03/2024,110,41,Male,131927.0,85,826.0,44256,2,3169,2,Medium,58535,1,0
01/01/2024,111,28,Male,147858.0,14,452.0,41618,1,19556,19,High,99090,0,0
18/04/2024,112,68,Male,25126.0,95,505.0,29817,1,7313,1,Low,35908,1,1
22/03/2024,113,34,Female,25122.0,55,754.0,35158,2,9315,25,Medium,57113,0,0
20/04/2024,114,25,Female,38030.0,48,572.0,30032,0,9036,29,Low,24610,0,0
22/02/2024,115,52,Male,102838.0,82,588.5,42846,0,1785,7,High,51646,0,0
24/01/2024,116,52,Female,104717.0,7,820.0,49936,1,7139,17,Medium,68185,0,0
26/01/2024,117,50,Male,75658.0,74,800.0,34794,1,7344,3,Low,77567,1,0
29/03/2024,118,22,Male,58638.0,7,416.0,10448,0,19800,20,Medium,52574,1,0
29/02/2024,119,59,Male,87067.0,33,685.0,33861,2,15973,20,Medium,96051,0,0
18/04/2024,120,56,Female,126476.0,23,643.0,33141,1,6619,21,High,41182,0,0
10/02/2024,121,58,Female,138033.0,85,694.0,14074,0,2936,3,Low,5570,0,0
29/01/2024,122,45,Male,125977.0,19,363.0,11406,1,4807,3,Medium,24288,0,0
15/01/2024,123,24,Male,108869.0,19,371.0,36823,2,8151,17,Medium,83824,0,0
14/02/2024,124,26,Male,85375.5,36,573.0,28291,0,10493,7,Low,34877,0,1
05/03/2024,125,25,Male,54674.0,29,619.0,46568,1,13355,27,Medium,89425,0,1
29/03/2024,126,29,Female,55854.0,60,637.0,37003,2,4236,26,Medium,5917,1,0
11/03/2024,127,51,Female,66271.0,82,665.0,29817,1,16848,14,Medium,80602,0,0
09/01/2024,128,50,Male,93688.0,2,794.0,28312,2,3352,17,Low,69575,0,0
28/03/2024,129,65,Male,58518.0,1,465.0,48108,2,2932,18,Low,77518,0,0
01/01/2024,130,40,Female,131076.0,47,843.0,6382,0,11913,13,Low,44104,0,0
17/04/2024,131,41,Female,30267.0,69,310.0,39171,2,9556,20,Low,23062,0,0
08/01/2024,132,54,Male,110825.0,20,600.0,29817,1,6498,29,High,21999,1,0
28/03/2024,133,52,Male,21062.0,11,588.5,8292,2,11582,20,Medium,66845,1,1
03/03/2024,134,61,Male,136664.0,2,588.5,46779,2,18330,21,Low,14941,0,0
11/01/2024,135,57,Female,85375.5,67,691.0,38187,0,14865,27,Medium,66169,0,0
24/04/2024,136,39,Female,85375.5,87,513.0,17411,2,10569,18,Medium,28470,0,0
21/03/2024,137,44,Female,26229.0,12,588.5,42285,2,18823,4,High,64821,1,0
08/01/2024,138,52,Male,85375.5,20,700.0,20422,1,5857,1,Low,91669,0,1
04/02/2024,139,18,Male,85375.5,5,345.0,47468,0,1340,18,Low,49435,0,0
04/02/2024,140,52,Female,67915.0,37,762.0,37371,0,12181,1,Medium,9529,0,0
02/02/2024,141,54,Female,24632.0,38,588.5,10693,0,17766,26,Low,88055,0,0
05/01/2024,142,64,Male,85375.5,94,588.5,38535,2,9491,26,Medium,17192,0,0
15/04/2024,143,31,Female,85375.5,9,391.0,19818,0,1138,13,Medium,79102,1,0
12/04/2024,144,20,Female,129779.0,98,541.0,36238,2,1358,20,High,77762,0,1
10/02/2024,145,18,Male,26168.0,53,301.0,35874,2,10714,20,High,91795,0,1
28/01/2024,146,22,Female,128099.0,44,524.0,31715,1,2627,23,High,39087,0,0
07/01/2024,147,43,Male,27561.0,99,415.0,32605,1,16996,10,Medium,71677,1,0
13/03/2024,148,31,Male,93794.0,86,402.0,39317,1,6004,27,Low,9627,1,1
12/03/2024,149,56,Male,102152.0,24,493.0,36174,1,14283,11,High,61541,0,0
12/01/2024,150,44,Male,145036.0,81,465.0,14956,1,7652,9,Low,73226,1,0
03/02/2024,151,26,Male,144049.0,74,389.0,43908,2,3151,9,High,8255,0,0
02/02/2024,152,32,Male,46734.0,30,588.5,15837,2,10429,5,High,62433,0,0
17/02/2024,153,32,Male,26371.0,59,442.0,29817,0,15072,26,Medium,10213,0,0
28/04/2024,154,43,Female,138894.0,87,405.0,9481,2,12927,1,High,24404,0,0
23/01/2024,155,59,Male,46069.0,96,727.0,29282,2,7905,17,High,30380,0,0
02/03/2024,156,30,Male,99905.0,81,604.0,11548,1,13452,22,Medium,96056,0,0
28/03/2024,157,68,Female,32910.0,81,616.0,29817,2,17212,2,Low,24173,0,0
06/02/2024,158,49,Female,93479.0,14,308.0,12758,1,19951,24,High,58027,1,1
08/04/2024,159,56,Female,85375.5,9,372.0,48668,0,2307,13,Medium,28989,0,1
13/02/2024,160,66,Male,101264.0,40,658.0,28177,0,15852,9,High,29519,0,1
13/04/2024,161,69,Female,43275.0,66,522.0,29022,2,3660,29,Medium,27439,0,0
26/03/2024,162,49,Male,92274.0,25,588.5,45761,0,11403,4,Low,81949,0,0
31/03/2024,163,21,Male,85375.5,73,669.0,10542,2,11238,5,Low,19995,0,0
04/02/2024,164,47,Male,120776.0,22,563.0,30476,0,7207,11,Medium,28559,0,0
05/03/2024,165,54,Male,80004.0,4,617.0,35784,1,2140,24,Medium,94049,1,0
08/04/2024,166,40,Female,82981.0,26,383.0,27740,1,2708,19,Medium,10021,0,0
10/04/2024,167,56,Female,104659.0,58,617.0,29817,1,4630,21,Low,26119,0,0
16/02/2024,168,62,Male,74553.0,29,410.0,21052,1,11485,3,High,56539,1,1
18/03/2024,169,32,Male,68447.0,98,550.0,40153,2,13021,12,Low,99835,0,0
03/01/2024,170,60,Male,54529.0,87,682.0,5671,0,17859,26,Medium,44350,0,0
01/01/2024,171,46,Female,146394.0,37,306.0,5163,2,8684,19,Medium,51223,0,0
05/01/2024,172,53,Male,95703.0,75,758.0,29817,1,2207,19,Low,30517,0,1
30/03/2024,173,30,Male,96090.0,70,383.0,49002,2,14331,13,Medium,83653,0,0
28/04/2024,174,49,Female,37260.0,18,507.0,9795,0,2960,28,Low,27250,0,1
14/01/2024,175,24,Female,132581.0,85,689.0,15634,2,1557,7,Medium,89486,0,1
12/04/2024,176,68,Male,23812.0,42,613.0,9798,0,16883,15,High,87895,0,0
27/01/2024,177,39,Female,48024.0,41,321.0,27420,2,14893,23,High,94132,1,0
09/01/2024,178,45,Female,78656.0,38,709.0,34300,0,1882,7,Medium,96066,0,0
19/03/2024,179,19,Male,136148.0,34,814.0,29345,0,5761,26,Low,71798,0,0
15/01/2024,180,59,Female,47285.0,17,426.0,15749,1,6867,8,High,59199,1,0
30/03/2024,181,62,Male,112436.0,37,313.0,43595,0,13869,5,Low,64546,0,0
11/02/2024,182,23,Female,136421.0,25,311.0,30121,1,8166,21,Medium,93151,0,1
17/03/2024,183,45,Male,21605.0,76,386.0,42487,1,13982,14,Low,8327,1,1
20/02/2024,184,45,Male,91158.0,87,823.0,33411,1,8929,4,High,34768,0,0
03/03/2024,185,61,Male,92303.0,86,836.0,38361,2,6347,23,Low,69418,0,0
05/04/2024,186,61,Female,47139.0,85,600.0,26223,2,8269,10,Low,99386,1,0
12/04/2024,187,37,Male,97149.0,27,542.0,12394,2,14527,20,Medium,47788,0,0
22/04/2024,188,47,Female,76138.0,57,421.0,19056,2,3454,15,Medium,87384,0,0
21/02/2024,189,28,Male,138205.0,31,446.0,33380,0,19330,18,Medium,51830,0,0
05/04/2024,190,45,Male,96125.0,6,655.0,31035,0,13991,20,High,57446,0,0
04/01/2024,191,42,Female,33918.0,91,608.0,35620,2,3808,13,High,20160,0,0
03/04/2024,192,56,Male,105655.0,40,587.0,24877,0,7642,29,Medium,61583,1,1
10/04/2024,193,50,Male,47446.0,98,606.0,48404,0,4825,8,Medium,38998,0,0
23/01/2024,194,18,Female,85375.5,12,848.0,35911,1,4536,9,High,32230,1,0
12/04/2024,195,44,Male,33046.0,53,651.0,37784,1,16309,16,High,14076,0,0
18/04/2024,196,69,Male,149922.0,71,588.5,8191,1,4802,19,High,74341,1,0
15/01/2024,197,30,Male,44818.0,10,358.0,38160,1,19354,16,High,36085,0,0
12/02/2024,198,58,Male,120894.0,45,334.0,30000,0,7142,7,Medium,60571,0,0
29/01/2024,199,20,Female,135751.0,17,744.0,44040,2,10094,14,High,19715,0,0
05/02/2024,200,56,Female,24324.0,26,392.0,8631,0,1364,28,Medium,10750,0,0
13/01/2024,201,23,Male,96323.0,85,506.0,11172,0,16688,14,Low,83768,0,0
01/02/2024,202,25,Female,29111.0,92,652.0,47080,0,2863,25,Low,40903,1,0
11/03/2024,203,44,Male,58110.0,62,631.0,28561,1,17499,27,High,77489,1,0
28/02/2024,204,26,Female,36389.0,46,458.0,29817,1,8084,4,Low,37093,0,1
24/04/2024,205,54,Male,85375.5,64,323.0,25281,1,9016,26,Low,96036,0,0
26/03/2024,206,50,Male,61427.0,2,703.0,33671,2,3384,15,Low,92954,0,1
28/01/2024,207,68,Male,99579.0,54,815.0,30364,0,16072,3,High,39314,0,0
06/03/2024,208,59,Male,48746.0,65,663.0,46674,2,4935,5,High,53225,0,1
11/02/2024,209,61,Male,142883.0,51,681.0,32425,1,14127,1,Low,92985,1,0
14/02/2024,210,41,Male,107886.0,53,831.0,33602,2,15482,3,Medium,88014,1,0
02/03/2024,211,32,Female,127141.0,36,451.0,28253,0,8742,15,Low,40179,0,0
26/02/2024,212,49,Male,20117.0,26,719.0,28472,0,17165,24,High,30338,0,0
26/04/2024,213,49,Female,145808.0,29,549.0,13080,1,3490,27,High,97435,0,0
06/01/2024,214,41,Male,132221.0,21,416.0,12099,1,14324,8,High,74681,0,0
28/01/2024,215,58,Female,104471.0,11,811.0,30431,2,19108,29,Low,37101,0,0
28/01/2024,216,69,Female,132613.0,40,634.0,36186,1,2137,4,Medium,7775,0,0
17/04/2024,217,66,Female,85375.5,11,717.0,35111,1,4420,2,High,50619,1,0
13/02/2024,218,66,Male,149597.0,36,594.0,44851,0,6845,29,High,50838,0,0
24/03/2024,219,69,Male,123864.0,59,670.0,27614,1,4906,24,Low,24539,0,0
30/01/2024,220,29,Female,73441.0,39,485.0,31724,1,13413,24,Medium,62124,1,0
02/03/2024,221,56,Male,20846.0,99,545.0,29817,0,1276,10,Low,70149,1,0
15/03/2024,222,19,Female,30954.0,54,588.5,29817,0,19383,4,High,31616,0,1
28/04/2024,223,20,Male,85375.5,98,588.5,33758,2,18611,3,Medium,84655,0,0
01/04/2024,224,66,Female,133689.0,55,829.0,41224,1,7337,2,Medium,95695,0,0
29/03/2024,225,54,Female,66514.0,24,588.5,12788,0,12944,25,High,59567,1,1
12/04/2024,226,66,Male,108236.0,22,819.0,33082,2,16906,17,Medium,42099,0,0
02/03/2024,227,34,Female,85375.5,69,399.0,29034,2,18079,23,Medium,80831,0,0
06/04/2024,228,66,Male,148644.0,56,777.0,40479,1,13306,21,Low,66799,0,0
01/01/2024,229,19,Female,26469.0,33,597.0,29817,1,11503,24,High,95221,1,0
27/01/2024,230,19,Female,50105.0,36,825.0,23052,2,5208,20,High,30479,0,0
02/03/2024,231,45,Male,85375.5,20,633.0,21531,0,12590,23,High,51172,0,0
25/04/2024,232,40,Male,84323.0,83,301.0,27804,2,11886,13,High,60863,0,0
17/03/2024,233,54,Male,111922.0,99,588.5,33903,1,13866,5,High,47043,0,1
14/04/2024,234,49,Female,78067.0,81,592.0,49857,0,2088,21,Medium,87569,0,0
03/01/2024,235,50,Male,69376.0,62,617.0,15142,0,4363,9,Low,20408,1,0
12/04/2024,236,18,Female,65587.0,98,801.0,14866,2,1024,25,High,62980,1,0
10/03/2024,237,36,Female,85375.5,73,680.0,9531,1,10764,29,Low,87956,0,0
12/03/2024,238,19,Male,124587.0,26,588.5,43098,2,10959,25,Low,21351,0,0
27/01/2024,239,61,Male,147534.0,66,803.0,43278,2,13935,28,Medium,9131,0,0
09/01/2024,240,43,Female,87584.0,73,530.0,33138,2,9068,22,High,49825,0,1
02/03/2024,241,49,Female,124537.0,73,383.0,32065,0,19619,6,Medium,16349,0,1
06/02/2024,242,23,Male,98477.0,40,429.0,34956,0,8295,5,High,65931,1,0
06/04/2024,243,49,Male,85375.5,17,588.5,46732,1,9392,25,Medium,49254,0,0
20/02/2024,244,21,Male,62533.0,1,327.0,44261,1,12390,10,Low,43225,0,0
15/04/2024,245,28,Male,21828.0,89,365.0,29817,2,9448,8,High,17453,0,0
13/02/2024,246,34,Male,21917.0,61,462.0,29817,2,11433,7,Low,23814,1,0
24/01/2024,247,55,Female,40618.0,43,528.0,47533,2,16038,7,Low,23263,0,0
19/03/2024,248,41,Female,52254.0,42,560.0,33270,1,12528,6,Medium,82694,1,0
28/02/2024,249,22,Female,85375.5,25,748.0,18279,0,16743,21,High,20735,1,0
