Date,Customer_ID,Age,Gender,Income,Spending_Score,Credit_Score,Loan_Amount,Previous_Defaults,Marketing_Spend,Purchase_Frequency,Seasonality,Sales,Customer_Churn,Defaulted
27/04/2024,250,69,Female,136714.0,39,723.0,29817,0,9605,29,Low,20830,0,1
01/02/2024,251,51,Male,67362.0,35,759.0,49251,2,3014,20,Medium,52893,0,0
05/04/2024,252,23,Male,40128.0,3,600.0,28888,2,2381,3,High,49673,0,0
28/03/2024,253,39,Male,143781.0,44,602.0,29817,2,2098,19,High,94462,0,0
14/04/2024,254,28,Female,131281.0,51,586.0,40144,2,10101,22,Low,50066,0,0
21/02/2024,255,65,Female,79383.0,94,694.0,36182,1,1187,15,High,8373,0,0
22/04/2024,256,33,Male,85375.5,98,309.0,30538,0,12948,4,Low,15335,0,0
02/03/2024,257,50,Male,102180.0,12,569.0,16824,2,11207,28,High,28741,0,0
22/04/2024,258,26,Female,107958.0,19,660.0,37125,1,3092,12,Medium,15692,0,0
27/02/2024,259,23,Female,85375.5,44,556.0,11979,2,19514,6,Low,52295,1,0
21/02/2024,260,33,Male,22219.0,59,432.0,31189,2,6242,19,Low,50541,0,0
12/01/2024,261,46,Male,59809.0,49,575.0,47600,0,9549,4,High,39057,0,0
08/02/2024,262,20,Female,136748.0,61,812.0,17504,2,6185,15,High,71983,0,1
02/01/2024,263,37,Male,25287.0,17,612.0,25669,0,16271,9,Low,24583,0,0
03/01/2024,264,53,Male,146593.0,74,588.5,29817,0,6776,5,High,27765,0,0
22/04/2024,265,36,Male,54387.0,57,420.0,39964,0,13449,13,Medium,64287,0,0
10/04/2024,266,43,Female,28512.0,55,406.0,29817,1,8823,23,High,28906,0,0
22/04/2024,267,20,Female,21342.0,47,503.0,30227,1,16717,26,Medium,90103,0,0
25/02/2024,268,36,Female,83076.0,12,464.0,10978,0,8355,18,Medium,84675,0,0
21/03/2024,269,37,Female,128872.0,62,604.0,26991,2,7465,5,Medium,51525,0,0
28/02/2024,270,49,Female,39216.0,80,796.0,22153,0,13737,25,Medium,43230,0,1
22/04/2024,271,24,Female,137512.0,88,455.0,38548,2,18881,16,Medium,24520,0,0
02/01/2024,272,69,Female,136682.0,83,588.5,47676,0,14324,27,High,90238,0,0
02/01/2024,273,58,Male,113070.0,8,550.0,44071,2,11350,19,Medium,56934,0,0
01/04/2024,274,50,Male,85375.5,95,633.0,8983,1,3555,14,High,30566,0,0
23/02/2024,275,57,Male,117829.0,21,810.0,14503,2,3951,25,Medium,78193,0,0
27/03/2024,276,56,Male,46614.0,81,592.0,34921,0,18622,16,Low,35134,0,0
10/04/2024,277,35,Male,56258.0,87,319.0,21905,1,5727,27,Medium,15345,0,0
05/04/2024,278,57,Male,113789.0,80,581.0,28953,2,6686,15,Low,46185,1,0
06/04/2024,279,18,Male,62078.0,70,300.0,31806,2,4701,22,Medium,97949,1,0
01/01/2024,280,28,Female,85375.5,72,418.0,27168,2,3780,4,Medium,75744,0,0
19/01/2024,281,45,Female,85375.5,25,334.0,29817,2,18972,7,Medium,38455,0,0
02/01/2024,282,42,Male,116573.0,82,497.0,43714,2,3368,16,Low,33018,0,0
22/02/2024,283,67,Male,32219.0,89,784.0,44896,1,16592,24,Low,59219,0,1
13/02/2024,284,40,Female,20235.0,12,358.0,16889,1,1436,22,Medium,50991,0,0
30/03/2024,285,48,Male,62929.0,15,460.0,29817,1,3828,21,High,78616,0,0
01/02/2024,286,47,Male,147309.0,59,505.0,17275,1,2556,22,Medium,92438,0,0
10/03/2024,287,59,Female,87444.0,26,311.0,7461,0,14364,21,Low,14486,1,0
01/02/2024,288,52,Male,28567.0,26,789.0,19291,1,16061,8,Medium,43862,0,0
28/04/2024,289,24,Female,121834.0,47,575.0,16435,2,11576,17,Low,63870,0,1
08/03/2024,290,33,Male,90792.0,32,588.5,32935,2,17566,16,Low,91694,0,0
24/02/2024,291,43,Female,85441.0,10,515.0,38453,1,8190,27,Low,48856,0,0
15/03/2024,292,65,Female,104555.0,16,550.0,23544,2,6565,23,Medium,91055,0,0
25/02/2024,293,69,Female,93698.0,71,425.0,17258,1,16369,10,Low,36379,0,0
17/01/2024,294,66,Male,144450.0,17,516.0,35841,2,2589,10,Low,69729,1,0
07/02/2024,295,19,Female,137248.0,23,605.0,15736,0,1159,27,Medium,33378,0,0
24/01/2024,296,18,Male,25415.0,26,484.0,42643,0,13145,2,Low,59353,0,0
09/03/2024,297,65,Male,85375.5,85,338.0,48950,1,16373,9,Medium,54996,1,0
25/04/2024,298,29,Male,63925.0,86,522.0,39964,1,7555,17,Low,19031,0,0
07/04/2024,299,22,Male,146523.0,7,483.0,33044,1,17237,11,High,85072,1,0
10/03/2024,300,54,Female,25951.0,14,794.0,44933,2,10203,10,High,70982,0,0
01/01/2024,301,49,Female,107388.0,79,588.5,20997,1,9244,22,Low,41683,0,0
11/01/2024,302,26,Male,28007.0,7,477.0,19215,0,15743,25,High,22618,0,0
21/04/2024,303,58,Male,146730.0,9,588.5,38069,2,14333,17,Medium,11587,0,0
16/01/2024,304,52,Female,61832.0,48,593.0,28911,1,14341,4,High,67790,0,0
06/04/2024,305,36,Male,78596.0,72,450.0,22030,2,19691,16,Low,36480,0,0
13/03/2024,306,65,Female,141101.0,59,683.0,34334,2,2228,20,Low,25527,1,0
28/02/2024,307,33,Male,50523.0,87,607.0,19571,1,6590,15,Medium,28569,1,0
10/03/2024,308,20,Male,108861.0,93,635.0,47719,2,6585,25,Low,16151,0,0
20/03/2024,309,37,Female,144194.0,82,674.0,33927,0,10227,27,Medium,76094,0,1
02/04/2024,310,41,Male,106740.0,95,307.0,25714,0,7046,21,High,64174,0,0
03/01/2024,311,50,Female,35524.0,94,640.0,48541,2,13237,5,High,49739,0,0
20/01/2024,312,41,Male,149028.0,39,428.0,28387,1,16649,6,Medium,37954,0,0
28/02/2024,313,69,Male,39282.0,99,651.0,33444,2,5945,17,Medium,40303,0,0
05/02/2024,314,28,Male,43930.0,18,657.0,24921,0,8927,1,Low,39700,0,0
19/01/2024,315,66,Female,85375.5,59,816.0,18057,2,13641,25,High,98036,0,0
30/03/2024,316,25,Male,125881.0,17,794.0,29858,2,16998,19,Medium,72568,1,0
07/03/2024,317,53,Male,145501.0,14,385.0,49638,0,14386,4,High,71788,0,0
19/01/2024,318,55,Male,40611.0,31,588.5,31062,2,8016,17,Medium,76045,0,0
20/01/2024,319,57,Male,36984.0,24,492.0,41850,2,15027,9,High,42842,0,0
05/04/2024,320,37,Female,34060.0,99,588.5,25567,1,16920,24,Low,18900,0,0
11/03/2024,321,52,Female,102985.0,60,418.0,34739,1,14752,2,High,85059,0,0
21/02/2024,322,65,Male,104056.0,45,517.0,48285,0,19268,8,High,6881,0,1
14/04/2024,323,42,Female,145329.0,98,726.0,8754,0,19193,15,High,38037,1,0
02/02/2024,324,52,Male,63303.0,3,713.0,32044,0,4167,7,High,6630,0,0
09/02/2024,325,42,Male,79207.0,37,588.5,6724,1,12989,27,High,25789,0,0
08/02/2024,326,46,Male,95046.0,43,444.0,6376,0,15087,6,Low,93059,1,0
22/03/2024,327,35,Female,49287.0,40,837.0,13706,0,3437,1,Medium,88494,1,0
13/04/2024,328,63,Female,113709.0,90,588.5,13894,0,16275,15,High,51151,0,0
01/01/2024,329,35,Female,59711.0,55,644.0,29817,1,6276,23,Low,53920,0,0
11/01/2024,330,19,Female,31954.0,87,300.0,23450,2,9859,26,High,72231,0,0
01/04/2024,331,52,Female,93340.0,39,446.0,21406,0,8818,7,High,85357,0,0
26/02/2024,332,33,Female,92101.0,15,586.0,34725,2,5728,29,Medium,8262,0,1
29/03/2024,333,58,Female,91520.0,4,352.0,10926,0,6738,25,High,71981,0,0
19/02/2024,334,53,Female,107062.0,93,603.0,44019,2,6793,17,Low,86972,0,0
23/01/2024,335,50,Female,122974.0,86,588.5,14496,1,5523,2,Low,80485,0,0
31/01/2024,336,21,Male,38574.0,25,660.0,41068,1,6571,27,Medium,59722,0,0
03/04/2024,337,50,Female,29184.0,13,519.0,34806,0,17209,9,High,94499,0,0
11/02/2024,338,31,Female,39096.0,82,460.0,27663,2,16246,29,Low,55818,0,0
08/04/2024,339,38,Female,87728.0,33,388.0,46321,1,11380,9,High,34932,0,0
07/01/2024,340,65,Female,54016.0,16,458.0,41495,0,3224,13,High,11901,0,1
16/01/2024,341,37,Female,31246.0,42,788.0,27656,0,9389,6,High,13597,0,1
30/03/2024,342,25,Female,65558.0,66,623.0,30860,1,16927,6,Medium,68909,0,1
21/04/2024,343,24,Female,138721.0,55,680.0,21832,1,12684,20,High,77391,0,0
25/04/2024,344,20,Female,38381.0,99,401.0,29817,0,11640,20,Low,89214,0,0
29/02/2024,345,34,Female,147796.0,42,793.0,26727,2,9662,21,High,13263,0,0
22/04/2024,346,50,Female,56455.0,34,318.0,47815,2,7361,3,Low,68293,1,0
02/01/2024,347,65,Female,112263.0,30,753.0,29817,2,2948,17,High,30805,1,0
01/01/2024,348,29,Male,24018.0,13,781.0,49522,0,13091,17,Low,96679,0,0
17/02/2024,349,68,Male,31302.0,13,696.0,7520,1,12992,12,Low,16874,0,0
12/01/2024,350,39,Female,87506.0,18,578.0,8081,0,7318,16,High,98065,0,0
09/03/2024,351,39,Female,61157.0,32,664.0,39196,1,13180,15,High,91402,0,0
06/02/2024,352,63,Male,74917.0,96,630.0,41735,2,1234,13,Low,19079,0,1
01/02/2024,353,47,Female,112738.0,99,643.0,44213,2,16372,23,Medium,54850,1,0
28/04/2024,354,55,Male,116646.0,39,754.0,19566,1,1522,1,High,77779,0,0
09/01/2024,355,55,Male,103122.0,46,364.0,19042,1,13718,17,Medium,14018,0,0
14/04/2024,356,62,Male,44519.0,29,375.0,30498,0,10821,3,High,54500,1,0
08/04/2024,357,68,Male,116809.0,62,442.0,16329,2,6832,26,High,17100,1,1
19/01/2024,358,25,Male,107487.0,93,772.0,36656,0,13820,15,High,62021,1,0
17/02/2024,359,44,Female,76819.0,62,716.0,7159,0,17211,4,High,24800,0,0
20/03/2024,360,44,Male,100910.0,57,604.0,42900,0,8122,4,Medium,68400,0,0
03/01/2024,361,51,Female,140430.0,16,796.0,24363,2,6842,18,High,97446,0,1
20/01/2024,362,38,Female,91324.0,56,590.0,29817,0,2316,17,Low,34437,0,0
24/01/2024,363,47,Male,25408.0,10,588.5,24033,0,14200,19,Low,81537,0,1
23/02/2024,364,50,Male,79379.0,30,588.5,29817,0,18508,11,Medium,51675,0,0
29/04/2024,365,45,Female,45053.0,25,302.0,40851,0,16206,20,High,24942,1,0
02/02/2024,366,64,Male,29446.0,84,384.0,31832,0,19971,3,Low,25862,0,0
24/01/2024,367,50,Male,85375.5,5,588.5,18944,0,2378,8,Medium,16669,0,1
25/04/2024,368,22,Female,118723.0,65,749.0,24873,2,2519,14,High,58772,0,0
15/03/2024,369,65,Female,71356.0,94,753.0,45372,0,8935,26,Low,20916,0,0
22/04/2024,370,36,Male,30789.0,49,520.0,28928,1,7093,1,Low,15878,0,0
12/03/2024,371,21,Female,117720.0,3,453.0,20379,0,6355,14,Medium,7985,0,0
05/02/2024,372,52,Male,86656.0,45,311.0,41751,0,10083,2,High,78648,0,0
07/02/2024,373,66,Male,85375.5,14,432.0,39546,2,6574,29,High,46235,0,1
13/04/2024,374,34,Male,84484.0,30,603.0,29286,2,14324,23,Low,23931,0,0
24/03/2024,375,61,Female,52154.0,68,592.0,10110,1,3257,4,Low,97876,1,0
08/04/2024,376,45,Female,85375.5,18,599.0,17087,1,14411,24,Low,5336,0,0
21/04/2024,377,47,Female,22336.0,62,342.0,28762,2,16233,27,High,47933,0,0
29/03/2024,378,46,Female,123677.0,37,642.0,22081,2,16887,29,Medium,89899,0,0
08/04/2024,379,63,Female,87779.0,25,625.0,39947,0,3005,19,Medium,50536,0,0
25/01/2024,380,23,Male,39029.0,48,588.5,14596,2,19400,6,High,74504,0,0
02/04/2024,381,52,Male,79201.0,65,663.0,43019,1,11860,25,Medium,56148,0,0
18/01/2024,382,58,Male,52265.0,53,726.0,47003,0,11070,1,Low,21279,1,0
19/04/2024,383,54,Male,122916.0,79,320.0,29817,1,10388,17,Medium,73665,1,0
22/03/2024,384,41,Female,132250.0,73,706.0,6013,0,19156,8,Medium,76386,0,0
06/03/2024,385,46,Male,136553.0,15,635.0,28705,2,19135,19,Medium,91124,1,1
23/02/2024,386,66,Female,63872.0,49,416.0,6828,1,15609,21,Low,82485,0,1
04/02/2024,387,63,Male,66197.0,88,423.0,12909,0,17363,1,High,79055,0,1
20/03/2024,388,48,Female,145733.0,68,698.0,43356,0,17923,5,Low,96911,0,0
01/03/2024,389,52,Female,75180.0,12,350.0,18109,2,15823,27,High,82273,0,0
10/02/2024,390,50,Male,85375.5,59,623.0,7023,2,18845,16,High,71670,1,0
09/04/2024,391,69,Male,49486.0,37,440.0,19537,2,9547,6,High,81474,0,0
02/02/2024,392,38,Male,85375.5,61,769.0,31661,1,12515,8,Medium,59028,1,0
08/03/2024,393,49,Male,148876.0,43,633.0,43659,0,1234,13,Medium,95022,0,0
01/01/2024,394,40,Female,91895.0,70,672.0,38848,2,15562,16,High,96632,0,0
14/01/2024,395,50,Male,84435.0,39,793.0,42804,1,18932,3,High,76128,0,0
21/01/2024,396,20,Male,60631.0,56,838.0,20379,1,8480,19,Medium,23108,0,1
17/02/2024,397,35,Female,85375.5,63,455.0,32766,1,5213,12,Low,57495,0,0
20/01/2024,398,42,Male,121532.0,46,590.0,48590,2,11293,16,High,87806,1,1
29/04/2024,399,59,Male,40103.0,88,443.0,7563,2,2673,27,Low,98185,0,0
08/01/2024,400,48,Male,84772.0,11,405.0,41060,0,3100,11,Medium,81533,1,0
07/01/2024,401,20,Male,85375.5,62,719.0,34197,0,12849,10,High,61830,1,0
07/03/2024,402,57,Male,85375.5,77,301.0,8586,2,19199,25,Low,79640,0,0
17/01/2024,403,63,Female,104291.0,98,588.5,29817,1,4841,20,Low,57509,1,1
02/02/2024,404,41,Male,121195.0,25,644.0,28225,1,11197,4,Low,71406,1,1
17/02/2024,405,67,Male,23756.0,71,649.0,34750,1,9016,12,Medium,99220,0,0
16/03/2024,406,49,Male,40609.0,52,758.0,11643,0,8011,23,Medium,44519,1,0
28/02/2024,407,64,Male,134074.0,4,562.0,32523,1,5493,2,Low,54649,1,1
24/04/2024,408,39,Male,36478.0,59,650.0,41727,0,18058,24,Low,39524,0,0
26/03/2024,409,40,Female,120978.0,72,407.0,16005,0,9578,22,Medium,38885,0,1
28/04/2024,410,19,Male,59666.0,20,338.0,48543,1,3158,19,Low,49369,1,0
22/01/2024,411,44,Female,85375.5,93,458.0,29817,1,3064,25,Low,35676,0,0
19/04/2024,412,59,Female,119097.0,63,611.0,21029,2,4253,5,Medium,69093,0,0
30/01/2024,413,19,Male,144714.0,54,540.0,19226,2,13828,8,Low,52764,0,0
07/02/2024,414,43,Male,85375.5,74,744.0,33731,1,2401,7,Low,55799,1,0
11/04/2024,415,34,Male,91315.0,98,597.0,48922,0,16193,14,Low,84414,0,0
18/04/2024,416,57,Male,85375.5,57,335.0,49848,0,13096,24,Medium,98095,1,0
20/02/2024,417,50,Female,146205.0,90,383.0,8390,0,5214,23,Low,77307,0,0
23/02/2024,418,26,Male,34153.0,41,751.0,10997,0,12023,3,Medium,87062,0,0
08/01/2024,419,60,Male,129415.0,3,684.0,17693,0,12950,18,Medium,36923,0,0
27/01/2024,420,65,Male,96325.0,6,471.0,47092,2,11704,16,High,83388,0,0
27/01/2024,421,56,Male,129701.0,5,675.0,5541,1,11343,23,High,52574,0,0
07/04/2024,422,46,Male,32999.0,5,661.0,29817,2,12867,19,Low,48391,1,0
21/01/2024,423,59,Male,75318.0,54,440.0,42861,0,3745,19,Medium,58664,1,1
30/01/2024,424,43,Female,20814.0,47,417.0,18428,0,4866,18,High,72384,0,1
06/04/2024,425,52,Female,135033.0,87,588.5,29817,0,12956,20,Low,36027,0,0
28/01/2024,426,67,Male,96077.0,49,519.0,15258,0,6818,16,High,40464,1,0
20/04/2024,427,42,Male,110474.0,9,325.0,21044,1,19606,8,High,39485,1,1
04/03/2024,428,41,Male,22443.0,99,820.0,34411,0,17093,28,Medium,24456,0,1
06/04/2024,429,30,Female,95993.0,20,309.0,29817,1,16493,1,Medium,79795,0,0
09/03/2024,430,24,Male,95916.0,61,677.0,33854,0,18908,17,High,40554,0,0
01/03/2024,431,53,Female,93319.0,35,451.0,11256,1,9224,12,High,51922,1,0
17/02/2024,432,62,Male,85375.5,50,348.0,15720,2,5025,21,Medium,18409,0,0
19/01/2024,433,37,Male,129777.0,82,453.0,38937,0,19950,11,Low,74327,0,0
04/01/2024,434,18,Male,37368.0,62,592.0,38598,1,7155,5,Medium,96400,0,0
04/02/2024,435,25,Male,35328.0,17,349.0,6651,2,14839,27,High,41639,1,1
04/03/2024,436,63,Female,85375.5,88,830.0,24194,0,1719,12,Low,68627,0,1
01/01/2024,437,33,Female,111751.0,3,588.5,30051,0,15890,17,High,88424,0,0
17/01/2024,438,31,Male,119131.0,32,466.0,32386,0,18356,6,Low,24692,0,0
13/02/2024,439,29,Male,47306.0,99,501.0,14518,1,19591,1,High,94037,0,0
01/04/2024,440,68,Female,105451.0,13,445.0,21184,1,5426,5,Low,83840,0,1
30/01/2024,441,40,Female,59915.0,89,738.0,38787,2,13512,25,Low,59200,1,0
02/04/2024,442,32,Female,57219.0,73,541.0,26621,1,16064,28,High,98063,1,0
15/02/2024,443,45,Female,100879.0,68,782.0,15028,1,14767,14,Low,62415,1,0
26/04/2024,444,51,Male,131939.0,14,407.0,17448,0,12308,5,Medium,23074,1,0
06/01/2024,445,19,Female,84644.0,98,588.5,29817,0,12477,22,High,20549,0,0
08/04/2024,446,49,Male,80279.0,11,731.0,35447,0,13903,24,Medium,34963,1,0
14/04/2024,447,40,Female,73028.0,56,718.0,23394,0,9680,27,High,96456,0,0
06/02/2024,448,39,Female,124263.0,67,754.0,39501,0,3204,1,Low,57265,0,1
24/01/2024,449,68,Female,20126.0,92,588.5,35254,0,2102,18,Low,21061,1,1
02/04/2024,450,42,Female,72329.0,29,822.0,23509,0,6243,16,Low,63226,0,1
22/04/2024,451,39,Female,47632.0,9,376.0,19472,2,7614,9,High,33810,0,0
15/02/2024,452,39,Male,127099.0,67,808.0,8471,2,17299,19,Medium,65006,0,0
22/02/2024,453,66,Male,85310.0,25,740.0,29817,2,9707,22,Medium,27800,0,0
04/04/2024,454,69,Female,85375.5,98,553.0,29817,2,14913,5,High,80476,0,1
08/04/2024,455,59,Female,75176.0,76,619.0,13329,0,1630,27,High,74460,1,0
29/02/2024,456,23,Male,139797.0,42,562.0,29817,2,12908,2,Medium,62767,1,0
06/04/2024,457,32,Female,106066.0,9,673.0,33272,0,11847,15,Medium,33054,0,0
25/04/2024,458,60,Female,125500.0,79,466.0,47845,2,10171,7,Medium,80319,0,0
03/03/2024,459,54,Male,146413.0,40,758.0,29817,1,13721,4,Medium,50397,0,0
25/03/2024,460,50,Female,64327.0,25,579.0,37373,2,17661,1,High,18233,1,0
01/02/2024,461,25,Female,85375.5,5,601.0,40525,2,17616,13,High,95020,0,0
27/03/2024,462,61,Male,23797.0,11,588.5,29570,0,10744,20,Low,30068,0,0
02/02/2024,463,61,Male,67882.0,59,517.0,23284,2,6690,22,Medium,70727,0,1
07/03/2024,464,22,Male,33718.0,98,401.0,23994,1,14401,7,Low,95610,0,0
18/01/2024,465,56,Female,54560.0,88,587.0,28284,0,8659,15,High,75453,0,0
25/01/2024,466,21,Male,96589.0,79,466.0,22833,0,11601,23,High,30832,1,0
15/04/2024,467,23,Male,42116.0,38,335.0,30122,2,12704,14,Low,91242,0,1
04/04/2024,468,62,Male,56244.0,72,652.0,10017,0,1025,23,Medium,18682,0,0
23/02/2024,469,49,Male,121721.0,5,372.0,21370,0,16384,19,Medium,97298,0,1
27/02/2024,470,69,Male,21645.0,48,652.0,34252,0,14705,22,Medium,28383,0,0
07/03/2024,471,47,Male,67523.0,90,588.5,12999,0,9652,29,Medium,63160,0,1
13/04/2024,472,64,Female,144085.0,18,724.0,29817,0,14379,24,Low,98332,0,1
15/02/2024,473,52,Female,137718.0,70,588.5,47963,0,8006,20,Low,28666,0,0
24/01/2024,474,57,Male,39256.0,37,727.0,7096,1,19378,29,High,63817,0,0
23/04/2024,475,69,Male,121376.0,60,838.0,30279,2,9682,24,Medium,96198,1,0
01/02/2024,476,33,Male,120158.0,48,459.0,48363,1,2072,18,Medium,39642,0,0
16/02/2024,477,30,Female,73173.0,77,448.0,31201,0,1215,10,Medium,46830,1,0
26/03/2024,478,67,Female,57430.0,28,588.5,24715,0,10915,9,Low,15234,0,0
01/01/2024,479,59,Female,85375.5,69,588.5,34309,2,10784,25,Medium,62616,1,0
06/03/2024,480,47,Female,139719.0,77,680.0,20078,1,19990,8,Low,14221,0,0
27/01/2024,481,36,Female,83374.0,81,357.0,10105,2,15824,26,Medium,16410,1,0
15/04/2024,482,34,Female,88244.0,40,558.0,34312,1,4313,29,Medium,85055,0,0
02/01/2024,483,36,Female,31694.0,45,641.0,7839,0,12033,10,High,66413,0,0
30/03/2024,484,45,Female,76264.0,96,429.0,8384,2,10968,17,Medium,6051,1,0
17/01/2024,485,43,Female,95060.0,62,471.0,48619,2,17241,2,Medium,80301,0,0
13/04/2024,486,54,Male,117416.0,93,508.0,47821,0,6939,6,High,81918,0,0
02/02/2024,487,43,Male,77545.0,58,653.0,18493,2,15696,26,Low,83116,0,1
09/01/2024,488,40,Male,138195.0,67,770.0,22069,1,15794,5,Low,61563,0,0
12/02/2024,489,26,Male,59224.0,56,415.0,29817,1,3295,28,Medium,49757,0,0
27/04/2024,490,29,Female,122516.0,40,563.0,42051,1,2696,9,Low,82475,0,0
17/02/2024,491,18,Female,117945.0,98,741.0,12736,1,12185,5,Medium,56257,0,1
08/02/2024,492,18,Male,33224.0,40,847.0,12710,0,19330,18,High,5307,1,1
02/04/2024,493,64,Female,60738.0,91,752.0,6619,2,13001,26,High,61889,0,1
11/02/2024,494,51,Male,45150.0,77,776.0,29817,1,15350,20,Medium,73895,1,0
28/04/2024,495,49,Female,83731.0,33,586.0,28252,0,4644,9,High,40944,1,0
26/01/2024,496,65,Male,69688.0,6,602.0,20261,2,7420,17,High,43134,0,0
08/04/2024,497,42,Female,119929.0,88,610.0,6431,2,12837,27,Medium,32323,0,0
19/02/2024,498,57,Female,128618.0,19,507.0,14067,0,7353,17,Medium,76762,0,1
25/01/2024,499,62,Male,93509.0,80,745.0,42481,0,11541,12,High,92225,0,0
24/01/2024,500,18,Female,28577.0,40,354.0,29817,1,2932,7,Low,30954,1,0
